Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2022/2023);BEAUMARCHAIS;124 RUE AMELOT;11ème Ardt;75111;2022-2023;Collège;"{""coordinates"": [2.3669059641720596, 48.864231545646064], ""type"": ""Point""}";48.864231545646064, 2.3669059641720596
COLLEGES (année scolaire 2022/2023);GEORGES ROUAULT;3 RUE DU NOYER-DURAND;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.3990770619653667, 48.88660919266352], ""type"": ""Point""}";48.88660919266352, 2.3990770619653667
COLLEGES (année scolaire 2022/2023);ALBERTO GIACOMETTI;7 RUE DU CANGE;14ème Ardt;75114;2022-2023;Collège;"{""coordinates"": [2.31497156179252, 48.83426455206892], ""type"": ""Point""}";48.83426455206892, 2.31497156179252
COLLEGES (année scolaire 2023/2024);HENRI BERGSON;27 bis RUE EDOUARD PAILLERON;19ème Ardt;75119;2023-2024;Collège;"{""coordinates"": [2.378040375653599, 48.881137694884536], ""type"": ""Point""}";48.881137694884536, 2.378040375653599
COLLEGES (année scolaire 2023/2024);PAUL VERLAINE;167 RUE DE BERCY;12ème Ardt;75112;2023-2024;Collège;"{""coordinates"": [2.375238551801449, 48.84260745086261], ""type"": ""Point""}";48.84260745086261, 2.375238551801449
COLLEGES (année scolaire 2023/2024);CARNOT;145 BOULEVARD MALESHERBES;17ème Ardt;75117;2023-2024;Collège;"{""coordinates"": [2.3078439600154557, 48.88447741020547], ""type"": ""Point""}";48.88447741020547, 2.3078439600154557
COLLEGES (année scolaire 2023/2024);JACQUES PREVERT;18 RUE SAINT-BENOIT;6ème Ardt;75106;2023-2024;Collège;"{""coordinates"": [2.3328455414566878, 48.85473387190791], ""type"": ""Point""}";48.85473387190791, 2.3328455414566878
COLLEGES (année scolaire 2023/2024);LUCIE FAURE;40 RUE DES PYRENEES;20ème Ardt;75120;2023-2024;Collège;"{""coordinates"": [2.406501323731271, 48.85090897148368], ""type"": ""Point""}";48.85090897148368, 2.406501323731271
COLLEGES (année scolaire 2023/2024);ANNE FRANK;38 RUE TROUSSEAU;11ème Ardt;75111;2023-2024;Collège;"{""coordinates"": [2.379036766249539, 48.85192514675005], ""type"": ""Point""}";48.85192514675005, 2.379036766249539
COLLEGES (année scolaire 2023/2024);GERARD PHILIPE;8 RUE DES AMIRAUX;18ème Ardt;75118;2023-2024;Collège;"{""coordinates"": [2.351945405253571, 48.89445882794094], ""type"": ""Point""}";48.89445882794094, 2.351945405253571
