valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,jour,mois,annee,arrondissement
233000.0,28.0,1.0,2.386413,48.872122,8321.42857142857,5,1,2024,20
300000.0,35.0,2.0,2.375124,48.872636,8571.42857142857,11,1,2024,10
249000.0,22.0,2.0,2.404826,48.855573,11318.181818181818,10,1,2024,20
285000.0,61.0,2.0,2.349327,48.872577,4672.131147540984,12,1,2024,10
400000.0,40.0,2.0,2.37073,48.875616,10000.0,3,1,2024,10
300000.0,56.0,3.0,2.345397,48.89717,5357.142857142857,12,1,2024,18
255000.0,22.0,2.0,2.359747,48.871241,11590.90909090909,9,1,2024,10
519000.0,71.0,2.0,2.348157,48.890858,7309.859154929577,3,1,2024,18
252000.0,28.0,1.0,2.369035,48.879425,9000.0,11,1,2024,10
400000.0,35.0,2.0,2.344032,48.891342,11428.57142857143,3,1,2024,18
415000.0,30.0,2.0,2.40454,48.859729,13833.333333333334,5,1,2024,20
230000.0,34.0,1.0,2.404113,48.876813,6764.705882352941,11,1,2024,19
308750.0,49.0,2.0,2.378345,48.8909,6301.0204081632655,10,1,2024,19
430000.0,52.0,2.0,2.339883,48.894711,8269.23076923077,9,1,2024,18
430000.0,50.0,2.0,2.339883,48.894711,8600.0,9,1,2024,18
616910.0,80.0,3.0,2.390483,48.878483,7711.375,9,1,2024,19
386100.0,37.0,2.0,2.371843,48.873386,10435.135135135135,10,1,2024,10
340000.0,45.0,2.0,2.313024,48.878442,7555.555555555556,9,1,2024,8
1022600.0,83.0,3.0,2.347568,48.874807,12320.481927710844,5,1,2024,9
322000.0,37.0,2.0,2.337369,48.893342,8702.702702702703,8,1,2024,18
241000.0,36.0,2.0,2.357977,48.890085,6694.444444444444,9,1,2024,18
441800.0,50.0,2.0,2.336964,48.881663,8836.0,9,1,2024,9
290000.0,35.0,2.0,2.403165,48.869949,8285.714285714286,9,1,2024,20
470000.0,46.0,2.0,2.354713,48.87229,10217.391304347826,15,1,2024,10
1115000.0,85.0,4.0,2.359666,48.857736,13117.64705882353,8,1,2024,4
293000.0,28.0,2.0,2.345317,48.886079,10464.285714285714,9,1,2024,18
522000.0,40.0,2.0,2.344634,48.881308,13050.0,4,1,2024,9
362400.0,40.0,2.0,2.361895,48.883439,9060.0,15,1,2024,10
527000.0,41.0,1.0,2.324222,48.873531,12853.658536585366,10,1,2024,8
615000.0,72.0,4.0,2.366727,48.882064,8541.666666666666,12,1,2024,10
310000.0,41.0,2.0,2.403264,48.872381,7560.975609756098,10,1,2024,20
590000.0,39.0,1.0,2.304678,48.871669,15128.205128205129,12,1,2024,8
158600.0,17.0,1.0,2.347161,48.885824,9329.411764705883,12,1,2024,18
180000.0,41.0,1.0,2.405242,48.867512,4390.243902439024,11,1,2024,20
165000.0,24.0,1.0,2.320948,48.892654,6875.0,5,1,2024,17
410000.0,71.0,3.0,2.406691,48.864374,5774.647887323944,12,1,2024,20
608000.0,85.0,4.0,2.377983,48.875228,7152.941176470588,3,1,2024,19
750700.0,84.0,4.0,2.364187,48.878091,8936.904761904761,4,1,2024,10
220000.0,31.0,2.0,2.407307,48.852719,7096.774193548387,17,1,2024,20
283000.0,30.0,2.0,2.399414,48.850911,9433.333333333334,12,1,2024,20
286000.0,34.0,2.0,2.404499,48.851663,8411.764705882353,9,1,2024,20
1247000.0,72.0,3.0,2.340682,48.8648,17319.444444444445,12,1,2024,1
370000.0,58.0,3.0,2.348899,48.868554,6379.310344827586,4,1,2024,2
465000.0,44.0,3.0,2.38278,48.87575,10568.181818181818,11,1,2024,19
291500.0,45.0,3.0,2.352355,48.888167,6477.777777777777,8,1,2024,18
334000.0,38.0,2.0,2.401784,48.874136,8789.473684210527,15,1,2024,20
1557000.0,115.0,3.0,2.312113,48.8804,13539.130434782608,8,1,2024,8
453300.0,48.0,3.0,2.355332,48.888276,9443.75,8,1,2024,18
252000.0,34.0,1.0,2.376709,48.888613,7411.764705882353,5,1,2024,19
417500.0,41.0,2.0,2.395439,48.867524,10182.926829268292,12,1,2024,20
731000.0,43.0,4.0,2.346091,48.885492,17000.0,5,1,2024,18
632488.0,42.0,2.0,2.364359,48.861647,15059.238095238095,12,1,2024,3
505700.0,48.0,2.0,2.403264,48.872381,10535.416666666666,4,1,2024,20
565000.0,54.0,3.0,2.343545,48.894574,10462.962962962964,9,1,2024,18
1448950.0,110.0,3.0,2.362155,48.852977,13172.272727272728,12,1,2024,4
140000.0,17.0,1.0,2.308108,48.872381,8235.29411764706,12,1,2024,8
1144700.0,92.0,3.0,2.293703,48.881576,12442.391304347826,8,1,2024,17
371000.0,38.0,2.0,2.352081,48.872201,9763.157894736842,8,1,2024,10
1230000.0,110.0,5.0,2.328116,48.882942,11181.818181818182,4,1,2024,9
324400.0,30.0,2.0,2.328691,48.886193,10813.333333333334,4,1,2024,18
203600.0,35.0,2.0,2.390089,48.872026,5817.142857142857,10,1,2024,20
272000.0,34.0,2.0,2.322822,48.8934,8000.0,15,1,2024,17
509709.0,73.0,3.0,2.400869,48.863563,6982.315068493151,10,1,2024,20
180000.0,25.0,1.0,2.379117,48.887083,7200.0,17,1,2024,19
197980.0,19.0,1.0,2.358455,48.867684,10420.0,8,1,2024,3
1500000.0,108.0,4.0,2.346784,48.880276,13888.888888888889,16,1,2024,9
314500.0,26.0,2.0,2.333459,48.884802,12096.153846153846,9,1,2024,18
839470.0,82.0,4.0,2.355267,48.872912,10237.439024390244,11,1,2024,10
483000.0,37.0,2.0,2.338046,48.884733,13054.054054054053,9,1,2024,18
320000.0,48.0,3.0,2.378004,48.884503,6666.666666666667,5,1,2024,19
316000.0,40.0,2.0,2.345578,48.883933,7900.0,12,1,2024,18
416000.0,36.0,2.0,2.370173,48.872065,11555.555555555555,5,1,2024,10
730000.0,49.0,2.0,2.346909,48.875517,14897.959183673469,9,1,2024,9
685000.0,79.0,3.0,2.341132,48.890974,8670.886075949367,8,1,2024,18
252000.0,27.0,1.0,2.349015,48.882692,9333.333333333334,9,1,2024,9
563900.0,63.0,3.0,2.394878,48.870454,8950.79365079365,12,1,2024,20
465000.0,56.0,3.0,2.357215,48.876524,8303.57142857143,5,1,2024,10
267500.0,32.0,1.0,2.385514,48.879174,8359.375,17,1,2024,19
630000.0,64.0,3.0,2.399748,48.866907,9843.75,10,1,2024,20
285500.0,38.0,2.0,2.362925,48.876418,7513.1578947368425,5,1,2024,10
516000.0,57.0,3.0,2.381841,48.884442,9052.631578947368,8,1,2024,19
195110.0,18.0,1.0,2.346297,48.891687,10839.444444444445,12,1,2024,18
487000.0,49.0,3.0,2.348686,48.887346,9938.775510204081,15,1,2024,18
607750.0,68.0,3.0,2.305891,48.889513,8937.5,9,1,2024,17
365000.0,26.0,2.0,2.344879,48.882453,14038.461538461539,10,1,2024,9
284580.0,35.0,2.0,2.368434,48.887012,8130.857142857143,16,1,2024,19
315000.0,23.0,2.0,2.362312,48.855137,13695.652173913044,9,1,2024,4
221000.0,20.0,1.0,2.353892,48.863621,11050.0,3,1,2024,3
339500.0,31.0,2.0,2.320118,48.886492,10951.612903225807,12,1,2024,17
300000.0,31.0,1.0,2.400909,48.861805,9677.41935483871,11,1,2024,20
1000000.0,97.0,6.0,2.358298,48.861636,10309.278350515464,12,1,2024,3
750047.6,48.0,2.0,2.341892,48.883673,15625.991666666667,12,1,2024,18
400000.0,48.0,2.0,2.375958,48.873739,8333.333333333334,12,1,2024,19
925000.0,63.0,2.0,2.312438,48.873682,14682.539682539682,16,1,2024,8
387000.0,45.0,2.0,2.336696,48.892084,8600.0,18,1,2024,18
320000.0,32.0,2.0,2.381889,48.876135,10000.0,10,1,2024,19
262000.0,23.0,1.0,2.342239,48.861296,11391.304347826086,12,1,2024,1
193000.0,23.0,1.0,2.40112,48.8685,8391.304347826086,17,1,2024,20
595000.0,50.0,3.0,2.318186,48.888454,11900.0,19,1,2024,17
195000.0,24.0,1.0,2.384139,48.873312,8125.0,19,1,2024,20
370800.0,44.0,2.0,2.321548,48.894747,8427.272727272728,16,1,2024,17
350000.0,50.0,2.0,2.406691,48.864374,7000.0,17,1,2024,20
330000.0,37.0,2.0,2.371364,48.874511,8918.918918918918,4,1,2024,10
280000.0,25.0,2.0,2.321738,48.892643,11200.0,12,1,2024,17
178000.0,20.0,1.0,2.396411,48.857187,8900.0,19,1,2024,20
110000.0,23.0,1.0,2.295925,48.876067,4782.608695652174,17,1,2024,17
275900.0,32.0,2.0,2.352392,48.870576,8621.875,16,1,2024,10
165500.0,23.0,1.0,2.351724,48.889821,7195.652173913043,22,1,2024,18
1365085.0,105.0,4.0,2.296022,48.881466,13000.809523809523,15,1,2024,17
500000.0,66.0,3.0,2.39212,48.876903,7575.757575757576,16,1,2024,19
569850.0,57.0,3.0,2.344953,48.890333,9997.368421052632,17,1,2024,18
645450.0,100.0,5.0,2.384106,48.88563,6454.5,16,1,2024,19
260000.0,28.0,2.0,2.318722,48.892625,9285.714285714286,3,1,2024,17
250000.0,31.0,1.0,2.346837,48.886614,8064.5161290322585,22,1,2024,18
567215.0,47.0,3.0,2.291867,48.876708,12068.404255319148,18,1,2024,17
256500.0,25.0,1.0,2.399905,48.867532,10260.0,12,1,2024,20
222100.0,27.0,1.0,2.344539,48.878613,8225.925925925925,16,1,2024,9
208000.0,22.0,2.0,2.335237,48.886482,9454.545454545454,10,1,2024,18
703400.0,73.0,3.0,2.357013,48.870697,9635.616438356165,12,1,2024,10
395000.0,43.0,2.0,2.350151,48.882147,9186.046511627907,9,1,2024,10
273500.0,29.0,2.0,2.39681,48.854769,9431.034482758621,18,1,2024,20
590000.0,60.0,3.0,2.335368,48.889188,9833.333333333334,2,1,2024,18
290000.0,64.0,3.0,2.360047,48.897635,4531.25,12,1,2024,18
410000.0,42.0,2.0,2.345345,48.885968,9761.904761904761,18,1,2024,18
333600.0,38.0,2.0,2.334761,48.894376,8778.947368421053,17,1,2024,18
